Drug name,TKO
SN-38,experimental
Epothilone_B,in clinical development
Vinblastine,clinically approved
Bortezomib,clinically approved
Docetaxel,clinically approved
Camptothecin,clinically approved
FK866,experimental
YM155,in clinical development
Thapsigargin,experimental
Vinorelbine,clinically approved
GSK2126458,in clinical development
AUY922,in clinical development
LAQ824,in clinical development
Gemcitabine,clinically approved
Elesclomol,in clinical development
SB-715992,in clinical development
Paclitaxel,clinically approved
Bryostatin_1,in clinical development
NVP-BEZ235,in clinical development
GW843682X,experimental
THZ-2-102-1,experimental
SNX-2112,experimental
Temsirolimus,clinically approved
Doxorubicin,clinically approved
Methotrexate,clinically approved
CGP-60474,experimental
Obatoclax_Mesylate,in clinical development
Rapamycin,clinically approved
JW-7-52-1,experimental
BI-2536,in clinical development
CUDC-101,in clinical development
Trametinib,clinically approved
rTRAIL,experimental
"PXD101,_Belinostat",clinically approved
AR-42,in clinical development
Mitomycin_C,clinically approved
AZD7762,in clinical development
XL-880,in clinical development
AZD8055,in clinical development
CEP-701,in clinical development
TW_37,experimental
WZ3105,experimental
Shikonin,in clinical development
JNK-9L,experimental
CAY10603,experimental
OSI-027,in clinical development
Midostaurin,in clinical development
PD-0325901,in clinical development
JQ1,experimental
GSK1070916,in clinical development
AV-951,in clinical development
AP-24534,in clinical development
Dasatinib,clinically approved
IOX2,experimental
Cytarabine,clinically approved
MLN4924,in clinical development
MG-132,experimental
Vorinostat,clinically approved
PI-103,experimental
PHA-793887,experimental
AT-7519,in clinical development
ABT-263,in clinical development
ZSTK474,in clinical development
A-443654,experimental
Etoposide,clinically approved
BMS-754807,in clinical development
17-AAG,in clinical development
MS-275,in clinical development
EKB-569,in clinical development
QL-X-138,experimental
Genentech_Cpd_10,experimental
HG-6-64-1,experimental
QL-VIII-58,experimental
(5Z)-7-Oxozeaenol,experimental
JQ12,experimental
Z-LLNle-CHO,experimental
QL-XII-47,experimental
JW-7-24-1,experimental
Bleomycin,clinically approved
NVP-TAE684,experimental
GDC0941,in clinical development
Afatinib,clinically approved
MK-2206,in clinical development
TG101348,in clinical development
YK_4-279,experimental
AZ628,experimental
Axitinib,in clinical development
AC220,in clinical development
Gefitinib,clinically approved
SGC0946,experimental
NG-25,experimental
S-Trityl-L-cysteine,experimental
BX-912,experimental
Tipifarnib,in clinical development
PAC-1,in clinical development
VX-680,in clinical development
GDC0941_(rescreen),in clinical development
XL-184,clinically approved
YM201636,experimental
NVP-BHG712,experimental
PIK-93,experimental
JQ1,experimental
VX-11e,experimental
WH-4-023,experimental
UNC1215,experimental
BX-795,in clinical development
OSI-906,in clinical development
CX-5461,experimental
Nilotinib,clinically approved
PF-562271,experimental
AZD6482,in clinical development
BAY_61-3606,experimental
RDEA119_(rescreen),experimental
ZM-447439,experimental
CP466722,experimental
LY317615,in clinical development
TPCA-1,experimental
Bosutinib,clinically approved
GSK269962A,experimental
GSK269962A,experimental
FH535,experimental
GSK-1904529A,experimental
I-BET,experimental
RDEA119,in clinical development
PD-0332991,in clinical development
NPK76-II-72-1,experimental
OSU-03012,experimental
Sorafenib,clinically approved
Bicalutamide,clinically approved
piperlongumine,experimental
AZD-0530,in clinical development
CHIR-99021,experimental
KIN001-102,experimental
CGP-082996,experimental
BMS-536924,experimental
VX-702,in clinical development
BMS-345541,experimental
A-770041,experimental
GW_441756,experimental
TL-1-85,experimental
THZ-2-49,experimental
5-Fluorouracil,clinically approved
AS601245,experimental
ZG-10,experimental
FTI-277,experimental
ABT-869,in clinical development
Cisplatin,clinically approved
BMN-673,experimental
AKT_inhibitor_VIII,in clinical development
Crizotinib,in clinical development
HG-5-113-01,in clinical development
XAV_939,experimental
Sunitinib,clinically approved
Embelin,in clinical development
GSK-650394,experimental
CMK,experimental
AZD6244,in clinical development
681640,experimental
PD-173074,experimental
QS11,experimental
MPS-1-IN-1,experimental
UNC0638,experimental
KIN001-266,experimental
UNC0638,experimental
CI-1040,in clinical development
PFI-1,experimental
Imatinib,clinically approved
NU-7441,experimental
Lapatinib,clinically approved
AZD6482,in clinical development
NSC-207895,experimental
Olaparib,in clinical development
Erlotinib,clinically approved
BMS-509744,experimental
AS605240,experimental
QL-XI-92,experimental
OSI-930,in clinical development
Parthenolide,in clinical development
BMS-536924,experimental
GSK690693,experimental
AZD6244,in clinical development
TGX221,experimental
XMD8-85,experimental
KIN001-244,experimental
CCT018159,experimental
TL-2-105,experimental
Masitinib,clinically approved
SB590885,experimental
XMD13-2,experimental
PHA-665752,experimental
KIN001-260,experimental
Salubrinal,experimental
Tamoxifen,clinically approved
Pazopanib,in clinical development
CHIR-99021,experimental
EHT_1864,experimental
BIX02189,experimental
GNF-2,experimental
JNJ-26854165,in clinical development
Y-39983,experimental
HG-5-88-01,experimental
MP470,in clinical development
Bexarotene,clinically approved
AMG-706,in clinical development
Bleomycin_(50_uM),clinically approved
VNLG/124,experimental
AG-014699,experimental
Dabrafenib,clinically approved
Vismodegib,in clinical development
QL-XII-61,experimental
Tubastatin_A,experimental
ATRA,clinically approved
Olaparib_(rescreen),clinically approved
T0901317,experimental
TAK-715,in clinical development
BMS-708163,in clinical development
PLX4720_(rescreen),experimental
PF-4708671,experimental
Lenalidomide,clinically approved
CH5424802,in clinical development
XMD8-92,experimental
RO-3306,experimental
CAL-101,clinically approved
KU-55933,experimental
XMD14-99,experimental
SB-505124,experimental
CCT007093,experimental
Nutlin-3a,in clinical development
XMD11-85h,experimental
IPA-3,experimental
SB_216763,experimental
Afatinib_(rescreen),clinically approved
SL_0101-1,experimental
ABT-888,in clinical development
JNK_Inhibitor_VIII,experimental
KIN001-135,experimental
XMD15-27,experimental
KIN001-055,experimental
STF-62247,experimental
PLX4720,clinically approved
Ruxolitinib,clinically approved
KIN001-236,experimental
SB52334,experimental
Cyclopamine,experimental
FR-180204,experimental
KIN001-270,experimental
CP724714,in clinical development
BIRB_0796,experimental
Pyrimethamine,clinically approved
GSK429286A,experimental
WZ-1-84,experimental
Roscovitine,in clinical development
BMS-708163,in clinical development
Bicalutamide,clinically approved
Temozolomide,clinically approved
EX-527,experimental
LFM-A13,experimental
GW-2580,experimental
FMK,experimental
NSC-87877,experimental
"Zibotentan,_ZD4054",in clinical development
Phenformin,experimental
Cetuximab,clinically approved
DMOG,experimental
AICAR,in clinical development
